Area Type,Area Name,Period,Standard Occupational Code,Occupational Title,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Redding MSA,2014-2024,111021,General and Operations Managers,440,36.32,75554.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Redding MSA,2014-2024,435081,Stock Clerks and Order Fillers,410,11.38,23670.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,439061,"Office Clerks, General",370,14.29,29718.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",350,9.41,19579.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",290,,,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Redding MSA,2014-2024,399011,Childcare Workers,290,11.95,24861.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,259041,Teacher Assistants,280,,26884.00,"Some college, no degree",None,None
Metropolitan Area,Redding MSA,2014-2024,352014,"Cooks, Restaurant",280,11.54,24015.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,280,17.20,35784.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Redding MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",270,11.41,23726.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",260,,73419.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Redding MSA,2014-2024,372012,Maids and Housekeeping Cleaners,250,9.75,20272.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,412021,Counter and Rental Clerks,250,11.15,23189.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",240,9.49,19752.00,No formal educational credential,None,None
Metropolitan Area,Redding MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",240,12.65,26330.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,493023,Automotive Service Technicians and Mechanics,240,19.98,41576.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,220,22.68,47166.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Redding MSA,2014-2024,472061,Construction Laborers,220,16.89,35127.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,499071,"Maintenance and Repair Workers, General",220,16.02,33324.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,319092,Medical Assistants,210,15.30,31816.00,Postsecondary non-degree award,None,None
Metropolitan Area,Redding MSA,2014-2024,311014,Nursing Assistants,200,13.26,27574.00,Postsecondary non-degree award,None,None
County,San Joaquin County,2014-2024,472111,Electricians,470,29.12,60557.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Redding MSA,2014-2024,434171,Receptionists and Information Clerks,200,13.31,27692.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,533033,Light Truck or Delivery Services Drivers,200,15.41,32049.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,190,12.64,26299.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,253098,Substitute Teachers,180,20.78,43207.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Redding MSA,2014-2024,353011,Bartenders,180,11.02,22924.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",180,14.85,30874.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,180,19.44,40423.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,194093,Forest and Conservation Technicians,170,,,Associate's degree,None,None
Metropolitan Area,Redding MSA,2014-2024,434051,Customer Service Representatives,170,14.55,30260.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,150,22.20,46170.00,Postsecondary non-degree award,None,None
Metropolitan Area,Redding MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",150,23.70,49300.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,132011,Accountants and Auditors,140,27.80,57829.00,Bachelor's degree,None,None
Metropolitan Area,Redding MSA,2014-2024,333051,Police and Sheriff's Patrol Officers,140,46.16,96018.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,140,15.98,33223.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Redding MSA,2014-2024,537061,Cleaners of Vehicles and Equipment,140,9.68,20140.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,172051,Civil Engineers,130,51.08,106258.00,Bachelor's degree,None,None
Metropolitan Area,Redding MSA,2014-2024,252022,"Middle School Teachers, Except Special and Career/Technical Education",130,,74413.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Redding MSA,2014-2024,319091,Dental Assistants,130,16.85,35028.00,Postsecondary non-degree award,None,None
Metropolitan Area,Redding MSA,2014-2024,393091,Amusement and Recreation Attendants,130,9.96,20721.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,395012,"Hairdressers, Hairstylists, and Cosmetologists",130,10.88,22638.00,Postsecondary non-degree award,None,None
Metropolitan Area,Redding MSA,2014-2024,332011,Firefighters,120,21.02,43716.00,Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,436013,Medical Secretaries,120,15.84,32952.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,252011,"Preschool Teachers, Except Special Education",110,11.91,24764.00,Associate's degree,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",25560,12.33,25652.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",23510,9.65,20068.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,399021,Personal Care Aides,22110,10.15,21098.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,412011,Cashiers,19730,9.75,20298.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,412031,Retail Salespersons,19190,10.59,22027.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,353031,Waiters and Waitresses,14830,10.09,20976.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,435081,Stock Clerks and Order Fillers,12170,11.46,23844.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,319092,Medical Assistants,4230,13.84,28787.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,10470,22.75,47310.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,291141,Registered Nurses,9380,45.90,95464.00,Bachelor's degree,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,472031,Carpenters,8670,21.91,45585.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,439061,"Office Clerks, General",8360,15.34,31908.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,472061,Construction Laborers,8360,17.10,35564.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,111021,General and Operations Managers,8350,43.51,90505.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,352014,"Cooks, Restaurant",7120,11.53,23994.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",6570,13.03,27115.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,434051,Customer Service Representatives,5990,16.86,35080.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",5620,,78522.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,253098,Substitute Teachers,5620,19.34,40214.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,352021,Food Preparation Workers,5520,9.71,20191.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,5430,11.40,23709.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,5380,13.72,28522.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,259041,Teacher Assistants,4940,,30709.00,"Some college, no degree",None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,537051,Industrial Truck and Tractor Operators,4920,15.48,32202.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,4750,18.44,38342.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,537064,"Packers and Packagers, Hand",4740,9.94,20680.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",4670,10.19,21190.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,499071,"Maintenance and Repair Workers, General",4670,18.16,37774.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,339032,Security Guards,4500,11.22,23332.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,4450,25.71,53470.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Salinas MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,480,18.90,39312.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",4400,26.84,55820.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,359021,Dishwashers,4210,9.59,19936.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,352011,"Cooks, Fast Food",4100,9.54,19844.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,533033,Light Truck or Delivery Services Drivers,4070,17.29,35961.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,435071,"Shipping, Receiving, and Traffic Clerks",3950,14.51,30179.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3890,18.35,38161.00,High school diploma or equivalent,None,Short-term on-the-job training
